Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Road Upgradation Project (Soyat-Pidawa) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Soyat - Pidawa Road in length of 6.3 km in Sehore,6.25 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Dilip Buildcon Ltd.,Not Available,24-Dec-2012,29-Jun-2013,29-Jun-2013,23-Dec-2014,28-Jun-2014,23-Dec-2014,06-Aug-2014,23-Dec-2027,Not Applicable,Not Available,,0.00,8.79,Not Available,8.80,Not Available
Upgradation of DevgulgarJod-Arandiyajod road in length of 35 km Shajapur district,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Devgulgar Jod - Arandia road in Shajapur district.,35.0 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s D P Jain Ujjain Package (Annuity) Road Projects Private Limited, Nagpur",Annuity,30-Nov-2011,12-Sep-2012,12-Sep-2012,Not Available,30-Apr-2014,Not Available,30-Apr-2014,29-Nov-2026,Not Applicable,Not Available,,5.45,57.83,Not Available,57.83,Not Available
Upgradation of Javad-Khoh road in length of 21.0 km in Neemuch district,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Javad - Khoh Road in length of 21 km in Neemuch,21.0 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Dilip Buildcon Ltd.,Annuity,24-Dec-2012,29-Jun-2013,29-Jun-2013,23-Dec-2014,28-Jun-2014,23-Dec-2014,28-Jun-2014,23-Dec-2027,Not Applicable,Not Available,,2.90,30.86,Not Available,30.86,"The project is completed ahead of schedule. (Source: Deputy General Manager, MIS Division, Madhya Pradesh Road Development Corporation Limited)"
Upgradation of Punasa - Mundi - Singhaji Road in length of 13.3 km.,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Punasa - Mundi - Singhaji Road.,13.3 KM (Kilometer),State,180,17-Apr-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s DBL Bamkhalfata-Dogawa Tollways Limited, Bhopal",Annuity,28-Jan-2013,03-Oct-2013,03-Oct-2013,27-Jan-2015,31-Mar-2014,27-Jan-2015,31-Mar-2014,27-Jan-2028,Not Applicable,Not Available,,2.01,24.45,Not Available,24.50,"(Source :-  Deputy General Manager - Incharge MIS, Madhya Pradesh Road Development Corporation)"
Development of Dakha-Raikot-Barnala Phase 2,Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of Dakha-Raikot-Barnala Phase 2 in length of 57.9 Km in Ludhiana district,57.9 KM (Kilometer),State,204,25-Apr-2019,"Public Works Department, Punjab",M/s Rohan Rajdeep Tollways Private Limited,Minimum grant,05-May-2006,03-Apr-2007,03-Apr-2007,02-Oct-2008,15-May-2009,02-Oct-2008,15-May-2009,02-Apr-2024,Not Applicable,Not Available,Construction Grant,31.46,30.56,Not Available,78.67,Not Available
Four laning of Ropar-Chamkaur Sahib-Neelon-Doraha Road (Sirhind canal) upto NH-1 in length of 54.74 km in Punjab,Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved upgradation of 2-Lane with paved shoulders with 4-Lane of Ropar-Chamkaur Sahib-Neelon-Doraha Road along Sirhind Canal road in Punjab.,54.75 KM (Kilometer),State,198,25-Apr-2019,"Public Works Department, Chandigarh",Atlanta Ropar Tollways Private Limited,Highest premium,05-Oct-2011,15-Apr-2013,15-Apr-2013,14-Oct-2014,09-Nov-2016,14-Oct-2014,09-Nov-2016,14-Oct-2029,Not Applicable,Not Available,,0.00,224.31,Not Available,240.00,Not Available
Road Upgradation of  Bhawanigarh-Nabha-Gobindgarh road in length of 55.4 Km in Fatehgarh Sahib district,Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of Bhawanigarh-Nabha-Gobindgarh road in length of 55.4 Km in Fatehgarh Sahib district,55.4 KM (Kilometer),State,204,25-Apr-2019,"Public Works Department, Punjab",Telecommunications Consultants India Limited,Minimum grant,08-May-2006,20-Nov-2006,20-Nov-2006,19-May-2008,29-May-2010,19-May-2008,29-May-2010,19-Nov-2023,Not Applicable,Not Available,Construction Grant,13.74,62.09,Not Available,70.25,Not Available
Road Upgradation of Patiala-Nabha-Malerkotla Road under Punjab Road Sector of 55.8 km Phase 2 project,Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved upgradation of Patiala-Nabha-Malerkotla Road under Punjab Road Sector Project-Phase 2,55.8 KM (Kilometer),State,215,25-Apr-2019,"Public Works Department, Punjab",Supreme Infra Projects Private Limited,Minimum grant,19-Jun-2006,19-Aug-2006,19-Aug-2006,18-Feb-2008,24-Jun-2012,18-Feb-2008,24-Jun-2012,05-Aug-2024,Not Applicable,05-Aug-2024,Construction Grant,25.42,63.56,Not Available,63.56,Not Available
Upgradation Operation and Maintenance of Moga-Kotkapura Road,Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Upgradation Operation and Maintenance of Moga-Kotkapura Road,47.7 KM (Kilometer),State,198,25-Apr-2019,"Public Works Department, Punjab",P.D. Agrawal Infrastructure Limited,Minimum grant,07-Apr-2006,25-Sep-2006,25-Sep-2006,Not Available,25-Apr-2008,Not Available,25-Apr-2008,24-Mar-2023,Not Applicable,Not Available,,0.00,62.09,Not Available,62.09,Not Available
"Consulting services, O&M of 4-lane divided carriageway facility of Tuni -Ankapalli NH5 Andhra Pradesh on BOT basis",Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,Widening of Tuni-Anakapalli section of NH-5 from km 300.0 to km 359.2 (Golden Quadrilateral Corridor) in Andhra Pradesh.,58.9 KM (Kilometer),Centre,210,07-Jun-2019,National Highways Authority of India (NHAI),GMR Tuni - Anakapalli Expressways Private Limited,Not Available,09-Oct-2001,01-Jun-2002,01-Jun-2002,08-Nov-2004,31-Jan-2005,08-Nov-2004,31-Jan-2005,08-Nov-2019,Not Applicable,Not Available,,0.00,283.20,Not Available,295.00,Not Available
Development of Datia-Dinara road in length of 8.9 km in Datia,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved development of Datia-Dinara road in Datia district,8.93 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Dinara Dhatia D.P. Jain Pathways Private Limited,Annuity,09-May-2012,02-Feb-2013,02-Feb-2013,01-Feb-2015,27-Jan-2015,01-Feb-2015,27-Jan-2015,08-May-2027,Not Applicable,Not Available,,1.62,16.00,Not Available,16.00,Not Available
"Development of Sausr-Mohgaon-Mordongri, Sonapipari-Umrethmonari-Umbah & Gadarwara-Tendukheda Roads",Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Sausar-Mohgaon-Mordongri road in Chhindwara district.,83.95 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),BVSR SSG Road Projects Private Limited,Annuity,30-Jan-2012,24-Aug-2012,24-Aug-2012,23-Aug-2014,31-Mar-2014,23-Aug-2014,31-Mar-2014,29-Jan-2027,Not Applicable,Not Available,,5.44,159.00,Not Available,58.20,Not Available
Development of Ujjain - Simhastha bypass on BOT (Toll + Annuity) Basis,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved development of Ujjain-Simhastha bypass in length of 14.5 km.,14.5 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Ujjayini Highways Private Limited,Annuity,12-Jun-2013,12-Dec-2013,05-May-2014,16-Dec-2015,21-Oct-2015,16-Dec-2015,21-Oct-2015,05-May-2029,Not Applicable,Not Available,,5.93,70.63,Not Available,98.26,Not Available
Dewas-Ujjain-Badnagar-Badnawar Road Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved four-laning of Dewas-Ujjain-Badnagar-Badnawar road.,98.3 KM (Kilometer),State,181,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),R.V. Infrastructure Engineers Pvt. Ltd.,Not Available,31-Jul-2003,08-Mar-2004,29-Nov-2004,30-May-2005,02-Aug-2005,30-Jul-2005,02-Aug-2005,30-Jun-2018,Not Applicable,Not Available,,24.27,49.30,Not Available,49.90,Not Available
"Improvement, Including Strengthening and Widening of NH-3 Indore-Khalghat section, M.P. on BOT basis.",Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Rehabilitating and upgrading the existing 2-lane section to a 4-lane divided carriageway from Indore to Khalghat in Madhya Pradesh on BOT(Toll) basis. The project has been made as a part of Pradhan Mantri Bharat Jodo Pariyojana,77.0 KM (Kilometer),Centre,Not Available,07-Jun-2019,National Highways Authority of India (NHAI),Oriental Pathways Indore Pvt. Ltd.,Minimum grant,10-Mar-2006,06-Sep-2006,06-Sep-2006,01-Sep-2009,31-Aug-2009,01-Sep-2009,31-Aug-2009,Not Available,Not Applicable,Not Available,,0.00,550.00,Not Available,472.00,Not Available
"Improvement,O&M and strengthening and widening of existing 2 to 4 lane NH1 Jalandhar-Amritsar section Punjab on BOT basis",Transport,Roads and bridges,Punjab,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),Four laning of the Jalandhar-Amristar-Wagah section of NH-1 under the North-South Corridor Scheme on BOT basis. The project was made a part of Pradhan Mantri Bharat Jodo Pariyojana (PMBJP),49.0 KM (Kilometer),Centre,Not Available,07-Jun-2019,National Highways Authority of India (NHAI),M/ s. Jalandhar Amritsar Tollways Limited,Annuity,30-Nov-2005,15-Jan-2006,30-May-2006,30-Nov-2008,30-Apr-2010,30-Nov-2008,30-Apr-2010,Not Available,Not Applicable,Not Available,,0.00,263.00,Not Available,263.00,Not Available
"Impvt,O&M,strengthening &widening of existing 2 to 4 lane NH22 &(ii )NH21 Ambala-Chandigarh,Haryana &Punjab",Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,"Improvement, Operation and Maintenance including strengthening and widening of existing 2-lane road to 4-lane dual carriageway from km 5.735 to km 39.960 of NH-22 and km 0.000 to 0.871 of NH-21 (Ambala-Chandigarh Section) in the states of Haryana & Punjab under NHDP-IIIA.",35.0 KM (Kilometer),Centre,240,07-Jun-2019,National Highways Authority of India (NHAI),GMR Ambala Chandigarh Expressways Private Limited,Not Available,16-Nov-2005,11-Jan-2006,15-May-2006,15-Nov-2008,31-Dec-2008,15-Nov-2008,31-Dec-2008,14-May-2026,Not Applicable,Not Available,,0.00,298.00,Not Available,298.00,Not Available
Paron-Goras Road (SH-23),Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved development of Paron - Goras up to Rajasthan Border Road in length of 36.48 km in Sheopur,36.48 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Guna Sheopur Pathways Pvt. Ltd.,Annuity,09-Sep-2011,23-Apr-2012,23-Apr-2012,22-Apr-2014,21-Mar-2014,22-Apr-2014,21-Mar-2014,08-Sep-2026,Not Applicable,Not Available,,8.05,102.00,Not Available,102.00,Not Available
Road Upgradation (AB Road-Magarkhedi-Bamari) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of AB Road-Magarkhedi-Bamari road in West Nimar.,12.61 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Agroh Toll Highways Private Limited,Annuity,24-Dec-2012,20-Jun-2013,20-Jun-2013,29-Apr-2015,02-Aug-2014,29-Apr-2015,02-Aug-2014,30-Apr-2028,Not Applicable,Not Available,,1.73,17.31,Not Available,17.31,Not Available
Road Upgradation (Alirajpur-Jobat) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Alirajpur - Jobat road in Jhabua.,32.16 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Agroh Toll Highways Private Limited,Annuity,24-Dec-2012,Not Available,01-May-2013,29-Apr-2015,02-Aug-2014,29-Apr-2015,02-Aug-2014,23-Dec-2027,Not Applicable,Not Available,,4.40,45.31,Not Available,45.31,Not Available
Road Upgradation (Ankiya-Barkheda-Dongargaon-Nazirabad) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Aakhiya-Barkheda-Dongargaon-Nazirabad road in Bhopal.,10.4 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Lateri Expressway Private Limited, New Delhi",Annuity,02-Feb-2013,07-Oct-2013,07-Oct-2013,02-Oct-2015,21-Aug-2014,02-Oct-2015,21-Aug-2014,02-Oct-2028,Not Applicable,Not Available,,1.24,14.13,Not Available,14.13,Not Available
Road Upgradation (Ashapur-Khalwa-Singhot) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Ashapur-Khalwa-Singhot in in West Nimar.,42.0 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"D P Jain Dariapur Jasondhi (Annuity) Road Projects Private Limited, Nagpur",Annuity,17-Jan-2012,07-Dec-2012,07-Dec-2012,06-Dec-2014,17-Oct-2014,06-Dec-2014,17-Oct-2014,16-Jan-2027,Not Applicable,Not Available,,0.00,56.90,Not Available,56.90,Not Available
Road Upgradation (Babangaja-Pati-Bokrata) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Bawangaja-Pati-Bokrata road.,33.31 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),Agroh Toll Highways Private Limited,Annuity,24-Dec-2012,20-Jun-2013,20-Jun-2013,29-Apr-2015,02-Aug-2014,29-Apr-2015,02-Aug-2014,23-Dec-2027,Not Applicable,Not Available,,4.56,46.87,Not Available,46.87,Not Available
Road Upgradation (Chirawa-Singhana-Pacheri/Haryana Border) Project,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved development of road from Chirawa-Singhana-Pacheri up to Haryana Border,44.8 KM (Kilometer),State,121,07-Jun-2019,"Public Works Department, Rajasthan","SPC Chetak Toll Roads Private Limited, Jaipur",Concession Duration,09-Dec-2011,Not Available,01-Feb-2012,09-Nov-2012,09-Nov-2012,09-Nov-2012,11-Nov-2012,08-Jan-2022,Not Applicable,21-Mar-2021,,0.00,44.55,Not Available,44.55,Not Available
Road Upgradation (Gwalior-Bhind up to UP Border) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved upgradation of Gwalior - Bhind road up to UP border on NH-92.,108.0 KM (Kilometer),State,168,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/S MP Highways Private Limited, Agra",Not Available,13-Dec-2010,07-Jun-2011,07-Jun-2011,06-Jun-2013,30-Jan-2013,06-Jun-2013,31-Jan-2013,13-Jan-2025,Not Applicable,Not Available,,27.00,302.35,Not Available,314.50,Not Available
Road Upgradation (Khandela-Srimadhopur-Reengus-Khatushvaji) Project,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of 2 lane Khandela-Srimadhopur-Reengus-Khatushvamji road,50.93 KM (Kilometer),State,105,07-Jun-2019,"Public Works Department, Rajasthan",M/s R.S. Bhamboo Private Limited,Concession Duration,03-May-2012,Not Available,27-Jul-2012,27-Mar-2013,27-Mar-2013,27-Mar-2013,28-Mar-2013,02-Feb-2021,Not Applicable,02-Apr-2021,,0.00,40.16,Not Available,43.26,"Source:- Superintending Engineer, Public Works Department, Rajasthan"
Road Upgradation (Phoolsagar-Niwas Shalpura) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of Phoolsagar - Niwas - Shalpura road in Mandla.,84.0 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s Madhav(Phoolsagar Niwas Shahpura Corridor) Highways Private Limited, Vadodra",Annuity,07-Mar-2013,28-Aug-2013,28-Aug-2013,27-Aug-2015,18-Feb-2015,27-Aug-2015,18-Feb-2015,06-Mar-2028,Not Applicable,Not Available,,0.00,156.90,Not Available,156.90,Not Available
Road Upgradation (Sheopur-Baroda-Khuwajapur) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT)  (T+ A),The project involved upgradation of Sheopur-Badora-Khawajapur road.,32.29 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),M/s VKS-Seopur Baroda Corridor Private Limited,Not Available,11-Jun-2012,06-Dec-2012,06-Dec-2012,05-Dec-2015,16-Apr-2015,05-Dec-2015,16-Apr-2015,Not Available,Not Applicable,Not Available,,0.00,60.43,Not Available,61.80,Not Available
Road Upgradation (Tyonda-Ganjbasoda) Project,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved upgradation of NH-86 Junction (Tyonda)-Ganjbasoda road.,37.8 KM (Kilometer),State,180,07-Jun-2019,Madhya Pradesh Road Development Corporation Limited (MPRDC),"M/s KCC Lateri Expressway Private Limited, New Delhi",Annuity,02-Feb-2013,07-Oct-2013,07-Oct-2013,02-Oct-2015,21-Aug-2014,02-Oct-2015,21-Aug-2014,01-Feb-2028,Not Applicable,Not Available,,4.51,46.04,Not Available,46.03,Not Available
